m/z 198	m/z 192	m/z 184	m/z 178	m/z 170	m/z 156	m/z 142	m/z 205	m/z 259	m/z 253	m/z 231	m/z 218	m/z 217	m/z 191	m/z 177	m/z 219	m/z 206	Retention time (min)
14241.232422	16365.02832	11271.694336	113011.203125	9648.255859	11151.400391	47271.253906	596.388611	236.684494	421.664398	422.434418	258.06424	312.955322	2102.219482	65353.023438	255.696915	1227.885864	10.88018054985638
10324.929688	30446.330078	10314.473633	192011.921875	11030.723633	17026.851563	83825.976563	577.44989	281.229736	553.080261	399.211578	286.08728	545.134521	2884.42334	151102.9375	337.750916	1054.341187	10.90398030365203
10186.329102	34046.984375	7022.666992	158474.90625	18069.042969	19690.158203	106668.460938	482.789185	273.87381	343.771667	324.50531	364.250366	477.874298	4158.692383	399738.65625	357.598877	1168.169922	10.92778005744768
16641.007813	30231.771484	7289.455078	119974.679688	26600.669922	20770.580078	108089.179688	606.775391	233.710999	484.648651	276.806335	333.3685	330.009979	3971.437256	270017.34375	537.786743	1417.174438	10.951579811243333
17427.265625	20212.712891	10863.666992	123167.40625	28874.484375	18740.916016	88007.460938	492.700897	137.665939	298.759491	448.204773	230.524506	349.448364	3823.864746	125690.101563	380.166382	1158.102661	10.975379565038983
13628.714844	16608.4375	6871.558594	175037.625	15359.770508	19284.25	55456.214844	502.276733	355.936005	329.477539	367.748108	204.590302	297.150391	3137.081299	178818.046875	321.60553	1081.340332	10.999179318834633
12072.032227	19437.537109	5445.397949	148265.984375	15119.981445	29200.357422	65180.304688	465.480621	238.09343	428.790985	312.979919	176.428009	418.682709	3393.982422	234961.71875	351.873047	951.587341	11.022979072630283
23287.121094	30628.927734	9079.761719	141003.625	26184.990234	36909.671875	92913.632813	524.180725	346.065277	381.427887	376.947144	310.309479	357.639832	3162.368408	147304.78125	351.84845	1228.917969	11.046778826425934
21827.408203	41675.496094	12945.376953	148960.296875	16999.6875	29925.976563	58759.839844	703.492126	259.112762	340.323059	287.38974	207.457321	285.661346	4952.991211	140952.265625	300.512482	1224.445435	11.070578580221584
26332.105469	27318.244141	16062.371094	117655.882813	21335.238281	31849.357422	51355.269531	514.383728	326.282867	433.771393	374.60437	305.779602	304.927673	4425.735352	177866.3125	392.63382	1616.42395	11.094378334017234
33913.316406	28887.058594	20491.417969	148095.859375	17124.451172	38661.210938	51958.234375	509.943939	249.913727	409.532837	370.090881	238.421097	275.905273	4801.87793	134921.0625	325.562012	2036.286133	11.118178087812884
59872.480469	37991.628906	25236.949219	187658.828125	25245.146484	52087.449219	85878.28125	727.607849	196.226807	375.726624	533.928589	237.855881	337.685394	5679.379395	125037.226563	424.679901	2002.615112	11.141977841608535
