Response (V)	Retention time (min)
0.000303	1.5363639759441186
0.000304	1.538044899331366
0.000308	1.5397258227186132
0.000306	1.5414067461058607
0.000304	1.5430876694931082
0.000308	1.5447685928803556
0.000301	1.5464495162676029
0.000306	1.5481304396548503
0.000306	1.5498113630420978
0.000306	1.5514922864293452
0.000309	1.5531732098165925
0.000308	1.55485413320384
0.000313	1.5565350565910874
0.000316	1.5582159799783346
0.00031	1.559896903365582
0.000306	1.5615778267528295
0.000313	1.563258750140077
0.000319	1.5649396735273242
0.000315	1.5666205969145717
0.000313	1.5683015203018191
0.000314	1.5699824436890664
0.000318	1.5716633670763138
0.000322	1.5733442904635613
0.000325	1.5750252138508087
0.000325	1.576706137238056
0.000328	1.5783870606253034
0.000328	1.5800679840125509
0.00033	1.5817489073997981
0.00033	1.5834298307870456
0.00033	1.585110754174293
0.000334	1.5867916775615405
0.000332	1.5884726009487877
0.000331	1.5901535243360352
0.000341	1.5918344477232826
0.000337	1.5935153711105299
0.000329	1.5951962944977773
0.000335	1.5968772178850248
0.000337	1.5985581412722722
0.000339	1.6002390646595195
0.000339	1.601919988046767
0.000335	1.6036009114340144
0.000338	1.6052818348212616
0.00034	1.606962758208509
0.000342	1.6086436815957565
